Statistics for Elevator Simulation:
Total number of customers served: 100
Total number of trips from floor i to floor j:

Floor	0         1         2         3         4         5         6         7         8         9         

0		0         2         9         5         6         4         9         6         12        6         

1		0         0         0         3         0         1         1         0         2         1         

2		0         1         0         0         0         0         0         0         1         1         

3		0         0         1         0         1         1         0         2         1         1         

4		1         2         0         0         0         0         0         1         0         2         

5		0         0         0         1         0         0         0         0         1         1         

6		0         0         0         0         0         0         0         0         0         0         

7		0         1         1         1         0         0         0         0         1         1         

8		0         0         0         0         2         0         0         1         0         1         

9		0         0         1         2         0         1         0         0         1         0         

Average wait time of a person going from floor i to floor j:

Floor	0         1         2         3         4         5         6         7         8         9         

0		0.00      1.20      1.29      1.60      2.04      2.55      2.39      2.39      2.29      3.07      

1		0.00      0.00      0.00      1.23      0.00      1.20      2.62      0.00      2.29      2.07      

2		0.00      1.43      0.00      0.00      0.00      0.00      0.00      0.00      1.80      3.27      

3		0.00      0.00      0.60      0.00      0.67      1.60      0.00      1.15      1.80      1.60      

4		1.20      1.73      0.00      0.00      0.00      0.00      0.00      1.00      0.00      1.30      

5		0.00      0.00      0.00      0.98      0.00      0.00      0.00      0.00      1.20      1.44      

6		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      

7		0.00      1.60      1.30      1.20      0.00      0.00      0.00      0.00      0.40      0.60      

8		0.00      0.00      0.00      0.00      1.19      0.00      0.00      0.40      0.00      0.40      

9		0.00      0.00      1.60      1.58      0.00      1.48      0.00      0.00      0.40      0.00      

Standard deviation of wait times going from floor i to floor j:

Floor	0         1         2         3         4         5         6         7         8         9         

0		0.00      0.20      0.61      0.51      0.55      0.59      0.85      0.81      0.66      0.80      

1		0.00      0.00      0.00      0.58      0.00      0.00      0.00      0.00      0.49      0.00      

2		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      

3		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.15      0.00      0.00      

4		0.00      0.13      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.10      

5		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      

6		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      

7		0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      

8		0.00      0.00      0.00      0.00      0.02      0.00      0.00      0.00      0.00      0.00      

9		0.00      0.00      0.00      0.18      0.00      0.00      0.00      0.00      0.00      0.00      

